zonal-monthly-mean surface air temperature from ERA5 

Reference for ERA5: Hersbach, H., Bell, B., Berrisford, P., Biavati, G., Horányi, A., Muñoz Sabater, J., Nicolas, J., Peubey, C., Radu, R., Rozum, I., Schepers, D., Simmons, A., Soci, C., Dee, D., Thépaut, J-N. (2023): ERA5 monthly averaged data on single levels from 1940 to present. Copernicus Climate Change Service (C3S) Climate Data Store (CDS), DOI: 10.24381/cds.f17050d7 (Accessed on 28-02-2024) 
 
Latitude	0	1	2	3	4	5	6	7	8	9	10	11
-51.25	279.57	279.9	279.53	278.72	277.75	276.84	276.34	276.13	276.09	276.72	277.58	278.66
-51.0	279.73	280.06	279.69	278.87	277.9	276.98	276.49	276.27	276.24	276.86	277.72	278.81
-50.75	279.87	280.2	279.83	279.01	278.02	277.11	276.62	276.4	276.38	276.99	277.85	278.95
-50.5	280.04	280.37	279.99	279.17	278.17	277.25	276.76	276.55	276.53	277.14	278.01	279.11
-50.25	280.21	280.54	280.16	279.33	278.33	277.4	276.9	276.69	276.68	277.3	278.17	279.28
-50.0	280.38	280.71	280.33	279.49	278.47	277.54	277.04	276.84	276.84	277.46	278.33	279.45
-49.75	280.56	280.9	280.5	279.66	278.63	277.69	277.19	276.99	277.0	277.62	278.5	279.62
-49.5	280.74	281.08	280.68	279.83	278.79	277.84	277.34	277.14	277.16	277.79	278.67	279.8
-49.25	280.91	281.26	280.85	279.99	278.94	277.98	277.48	277.29	277.32	277.94	278.83	279.97
-49.0	281.09	281.44	281.04	280.17	279.12	278.16	277.65	277.45	277.48	278.1	279.0	280.14
-48.75	281.28	281.63	281.22	280.35	279.29	278.32	277.82	277.61	277.65	278.28	279.18	280.33
-48.5	281.45	281.81	281.4	280.52	279.45	278.48	277.97	277.77	277.81	278.44	279.35	280.5
-48.25	281.64	282.0	281.59	280.7	279.62	278.64	278.13	277.92	277.97	278.61	279.53	280.69
-48.0	281.83	282.19	281.77	280.89	279.8	278.81	278.29	278.08	278.13	278.77	279.71	280.87
-47.75	282.01	282.37	281.96	281.07	279.97	278.97	278.45	278.24	278.29	278.93	279.87	281.04
-47.5	282.2	282.56	282.15	281.25	280.14	279.14	278.62	278.4	278.45	279.09	280.04	281.22
-47.25	282.39	282.75	282.33	281.44	280.32	279.31	278.78	278.55	278.6	279.24	280.21	281.4
-47.0	282.57	282.94	282.52	281.62	280.49	279.48	278.93	278.7	278.75	279.39	280.37	281.58
-46.75	282.76	283.14	282.72	281.81	280.69	279.66	279.11	278.87	278.92	279.56	280.55	281.77
-46.5	282.97	283.35	282.93	282.02	280.88	279.85	279.28	279.05	279.09	279.74	280.74	281.97
-46.25	283.14	283.53	283.1	282.18	281.03	279.99	279.42	279.18	279.23	279.88	280.89	282.13
-46.0	283.32	283.71	283.28	282.35	281.19	280.14	279.56	279.32	279.37	280.03	281.05	282.3
-45.75	283.51	283.91	283.47	282.53	281.37	280.3	279.71	279.47	279.53	280.19	281.22	282.49
-45.5	283.72	284.11	283.67	282.72	281.55	280.46	279.87	279.63	279.69	280.36	281.4	282.68
-45.25	283.92	284.32	283.87	282.91	281.73	280.63	280.04	279.79	279.86	280.53	281.58	282.87
-45.0	284.13	284.53	284.07	283.11	281.91	280.81	280.2	279.96	280.02	280.7	281.77	283.07
-44.75	284.34	284.75	284.28	283.31	282.1	280.98	280.37	280.13	280.2	280.88	281.96	283.28
-44.5	284.56	284.97	284.49	283.51	282.3	281.17	280.56	280.31	280.38	281.08	282.16	283.49
