Selection of zonal-annual-mean climate variables from NorESM2-MM CMIP6 pre-industrial control spin-up simulation [creation data: 2020-01-02T06:12:27Z] 

Reference for NorESM2: Seland, Ø., Bentsen, M., Olivié, D., Toniazzo, T., Gjermundsen, A., Graff, L. S., Debernard, J. B., Gupta, A. K., He, Y.-C., Kirkevåg, A., Schwinger, J., Tjiputra, J., Aas, K. S., Bethke, I., Fan, Y., Griesfeller, J., Grini, A., Guo, C., Ilicak, M., Karset, I. H. H., Landgren, O., Liakka, J., Moseid, K. O., Nummelin, A., Spensberger, C., Tang, H., Zhang, Z., Heinze, C., Iversen, T., and Schulz, M.: Overview of the Norwegian Earth System Model (NorESM2) and key climate response of CMIP6 DECK, historical, and scenario simulations, Geosci. Model Dev., 13, 6165–6200, https://doi.org/10.5194/gmd-13-6165-2020, 2020. 
 
Latitude	Surface Air Temperature (K)	Precipitation (kg m-2 s-1)	Snowfall (kg m-2 s-1)	Evaporation (kg m-2 s-1)	Incoming Shortwave Radiation TOA (W m-2)	Outgoing Shortwave Radiation TOA (W m-2)	Incoming Shortwave Radiation SFC (W m-2)	Outgoing Shortwave Radiation SFC (W m-2)	Outgoing Longwave Radiation TOA (W m-2)	Incoming Longwave Radiation SFC (W m-2)	Outgoing Longwave Radiation SFC (W m-2)	Sensible Heat Flux (W m-2)	Latent Heat Flux (W m-2)
-61.72774869109948	272.81847934885474	2.7251439531506955e-05	1.744317250915334e-05	1.3082705085493823e-05	228.20652830411493	95.80269119114001	93.03647794723442	10.63574518147873	201.03203344078005	283.65280800735206	319.8559294969306	18.82399655604599	32.78226578140303
-60.78534031413612	273.5316122138954	2.824153841394651e-05	1.6221269962317277e-05	1.3742132198834138e-05	232.59589105369656	97.2199619127445	94.1702533846708	9.857466537848545	201.95431857953878	286.453238148653	322.45437676341203	16.640045966573773	34.42202667268218
-59.84293193717278	274.1787428340157	2.9329054956014752e-05	1.4942734935945208e-05	1.4512053742542622e-05	237.0393468849372	98.60456344629713	95.3637404205429	9.049040945229011	202.8669531512297	289.0174541719864	324.968268146602	15.09948454353538	36.338571622882554
-58.90052356020942	274.788589528692	3.052364642412739e-05	1.3701349580988944e-05	1.544338674501481e-05	241.52245632276865	100.15873746949063	96.43862154854213	8.282363192836897	203.78159681240356	291.5070883914071	327.5245929292711	14.177788620772713	38.658868711734506
-57.95811518324607	275.36201576918046	3.1751408375731954e-05	1.2503181877319609e-05	1.643067495758371e-05	246.0327895670721	101.92257766435137	97.29313322311756	7.508488361644963	204.69367438076836	293.9373082255591	330.0325925541069	13.574370361495276	41.117284360510816
-57.01570680628272	275.913135320498	3.2899226804623156e-05	1.1288140418704843e-05	1.7334693360742404e-05	250.5606963511544	103.73643496094775	98.21471194991874	6.837812409882677	205.63899175167808	296.24479363559044	332.427303735945	12.839371220687237	43.367966271940666
-56.07329842931937	276.42548573147036	3.380584954434499e-05	1.00577002788781e-05	1.800018668038349e-05	255.09585435961293	105.43073158292103	99.55776998330197	6.447837666118889	206.6752490374741	298.36755435763615	334.61839795883384	11.919901903750642	45.02519727120274
-55.13089005235602	276.8674828091568	3.449561610490356e-05	8.909893127574333e-06	1.8336378544470714e-05	259.6316085053652	107.23267545824726	101.14482645328005	6.417637861187782	207.81320300097877	300.1988672885285	336.4379788952948	10.89199567174542	45.86338484679016
-54.18848167539267	277.3190294938109	3.49833570217787e-05	7.628086527266254e-06	1.859330011689598e-05	264.1600075674202	108.69586978782075	103.25187540776835	6.532391570371036	209.10795903448283	301.86144706142545	338.3103347960636	9.85778950093408	46.50468214021795
-53.24607329842932	277.80046426041486	3.532128355381292e-05	6.189187544831039e-06	1.892168275753288e-05	268.67479188077164	109.89208091941961	105.54073804191438	6.554237546672196	210.4842978182231	303.5905303210574	340.4129236798743	8.94408405936246	47.324505717299886
-52.303664921465966	278.25777452695314	3.564291575440727e-05	4.811283882356149e-06	1.9317618770544207e-05	273.17046350990074	111.17621443652308	107.79949152405041	6.668216042727277	211.83336130271402	305.42866168393755	342.5198624804829	8.456517453581629	48.314157724973555
-51.361256544502616	278.7981405677099	3.607171366668169e-05	3.6043480726628916e-06	1.9944373741755887e-05	277.6419187932036	112.40086897318585	110.17068676172418	6.8667724671846475	213.22372440608126	307.4495783232917	345.14513825107383	8.392232117459997	49.88176491161697
-50.41884816753927	279.28176635898956	3.647655208419582e-05	2.6260273370111612e-06	2.0685115974544593e-05	282.0844560584703	113.45124204839927	112.67094720024588	7.027519480285761	214.60871995814134	309.537976778312	347.66574508353455	8.753844326576305	51.73419751722771
-49.47643979057592	279.8764490588579	3.681559654940126e-05	1.8671617198383966e-06	2.1551635646604563e-05	286.4937491262776	114.47448109198379	115.24972777243981	7.276201878053957	216.09219039104119	311.807635556864	350.794132276387	9.476569892984356	53.90138406494431
-48.53403141361257	280.40456816689243	3.702050489748209e-05	1.2916390173144127e-06	2.2322858156268273e-05	290.86577167209066	115.07182765810093	118.18794748938429	7.4390418555402675	217.6566566383675	313.967266374469	353.58877531260663	9.999763557359373	55.830387812590516
-47.59162303664922	280.9959646081271	3.701084666950738e-05	8.447393188631024e-07	2.311212245737929e-05	295.19670195075844	115.26953218291338	121.49043711483753	7.571212183180829	219.35253618206968	316.14747279579416	356.7001914379985	10.29884131455316	57.804319529810996
-46.64921465968587	281.61553205696237	3.684712128526599e-05	5.078363137911836e-07	2.398328628421359e-05	299.48284013341004	115.27685194022762	124.91729246790368	7.669266432128176	221.136106293372	318.42512124010784	360.0016196062213	10.655095808413616	59.98288851103093
-45.70680628272251	282.18470000105907	3.663128888636532e-05	2.98073748673605e-07	2.4955335925121284e-05	303.72117147604627	115.21939031483738	128.48604414035924	7.877335172392644	222.93645465879862	320.6797752519866	363.14424781810925	11.44437096120021	62.41383335324258
-44.76439790575916	282.89387578226837	3.6397899404827786e-05	1.8463750106681465e-07	2.6436320093273067e-05	307.90970725418043	114.91632918978388	132.31338360199825	8.105158781961764	224.79956651452468	323.309011221353	367.27990184386204	12.867906518204597	66.11762028044839
-43.82198952879581	283.57230527120095	3.614503174140499e-05	1.2750474973854528e-07	2.8109655556897586e-05	312.0445719219887	114.46145365478424	136.2940330580943	8.36288806849963	226.72409604650292	325.9438875884226	371.40154390747324	14.381971278313838	70.30253993021542
-42.87958115183246	284.2183856082144	3.580026593613478e-05	8.829686532971495e-08	3.0004513481146674e-05	316.1221941980887	113.76326423361239	140.42613607265451	8.558777244305139	228.7005662262857	328.5497392952134	375.4421358736465	15.86980107618313	75.04151314986329
