Selection of zonal-mean variables from ICE-6G_C 

References: 
Argus, D.F., Peltier, W.R., Drummond, R. and Moore, A.W.(2014) The Antarctica component of postglacial rebound model ICE-6G_C (VM5a) based upon GPS positioning, exposure age dating of ice thicknesses, and relative sea level histories. Geophys. J. Int., 198(1), 537-563, doi:10.1093/gji/ggu140. 
& 
Peltier, W.R., Argus, D.F. and Drummond, R. (2015) Space geodesy constrains ice-age terminal deglaciation: The global ICE-6G_C (VM5a) model. J. Geophys. Res. Solid Earth, 120, 450-487, doi:10.1002/2014JB011176. 

Latitude	lf_pd	lf_lgm	orog_pd	orog_lgm	if_pd	if_lgm
-36.5	0.0743055534362793	0.09537037849426269	439.19000244140625	424.6444091796875	0.0	0.0
-35.5	0.07839506149291992	0.10393518447875977	407.3125	387.4971923828125	0.0	0.0
-34.5	0.09791666984558106	0.13425925254821777	316.5054931640625	313.8150634765625	0.0	0.0
-33.5	0.1413580322265625	0.16759260177612303	359.6034240722656	390.6117248535156	0.0	0.0
-32.5	0.16072530746459962	0.1917438316345215	426.4397277832031	443.83770751953125	0.0	0.0
-31.5	0.1864197540283203	0.19830245971679689	512.9391479492188	572.8410034179688	0.0	0.0
-30.5	0.19945985794067383	0.20609567642211915	491.4203186035156	563.2305297851562	0.0	0.0
-29.5	0.2055555534362793	0.2144290351867676	558.9755859375	622.6097412109375	0.0	0.0
-28.5	0.21226850509643555	0.22206789016723633	617.3946533203125	680.49072265625	0.0	0.0
-27.5	0.2184413719177246	0.2256944465637207	637.2304077148438	703.6153564453125	0.0	0.0
-26.5	0.219135799407959	0.2284722137451172	687.5753784179688	747.3338623046875	0.0	0.0
-25.5	0.22237653732299806	0.24066356658935548	712.2111206054688	744.2380981445312	0.0	0.0
-24.5	0.23765432357788085	0.2523919868469238	628.5035400390625	678.8048095703125	0.0	0.0
-23.5	0.2426697540283203	0.25501543045043945	630.915283203125	687.1334838867188	0.0	0.0
-22.5	0.25084877014160156	0.26651233673095703	670.6210327148438	718.4279174804688	0.0	0.0
-21.5	0.24953702926635743	0.270910472869873	681.1116943359375	714.792724609375	0.0	0.0
-20.5	0.241898136138916	0.2673611068725586	717.0587158203125	733.7339477539062	0.0	0.0
-19.5	0.23202159881591797	0.26550928115844724	783.1448974609375	767.68994140625	0.0	0.0
-18.5	0.23487651824951172	0.25648147583007813	751.9119873046875	777.332275390625	0.0	0.0
