<<<<<<< HEAD
Multi-Model LGM-PI SAT reconstruction from PMIP3 & PMIP4 
PMIP3 MAT Global Mean: -4.71C 
PMIP3 MAP Global Mean: -0.29 
PMIP4 MAT Global Mean: -4.77C 
PMIP4 MAP Global Mean: -0.33 
Reference: Soured data from: Kageyama, M., Harrison, S. P., Kapsch, M.-L., Lofverstrom, M., Lora, J. M., Mikolajewicz, U., Sherriff-Tadano, S., Vadsaria, T., Abe-Ouchi, A., Bouttes, N., Chandan, D., Gregoire, L. J., Ivanovic, R. F., Izumi, K., LeGrande, A. N., Lhardy, F., Lohmann, G., Morozova, P. A., Ohgaito, R., Paul, A., Peltier, W. R., Poulsen, C. J., Quiquet, A., Roche, D. M., Shi, X., Tierney, J. E., Valdes, P. J., Volodin, E., and Zhu, J.: The PMIP4 Last Glacial Maximum experiments: preliminary results and comparison with the PMIP3 simulations, Clim. Past, 17, 1065–1089, https://doi.org/10.5194/cp-17-1065-2021, 2021. 

lat	pmip3_mat_mean	pmip3_map_mean	pmip4_mat_mean	pmip4_map_mean	pmip_mat_max	pmip_mat_min	pmip_map_max	pmip_map_min
-42.5	-2.5362148948522094	-0.30000169859889736	-3.1964129884245276	-0.2884374679617045	-0.8933333333333333	-5.262804232804233	-0.13757612524461837	-0.4556898238747554
-41.5	-2.5034058473229392	-0.28139856251588147	-3.1030748415146667	-0.26868750639960093	-0.9466666666666667	-5.130529100529101	-0.1511095890410959	-0.4267952479088374
-40.5	-2.4648870133650647	-0.25777484929252975	-3.004471853857046	-0.2458777736070455	-0.995	-5.003473684210526	-0.12444989185291987	-0.40800374909877435
-39.5	-2.433020390833263	-0.2199348149714436	-2.923514972267461	-0.21931995383183864	-1.0166666666666666	-4.892947368421052	-0.07016005767844252	-0.3944348954578226
-38.5	-2.4107250682746177	-0.17770028714547562	-2.8515238911374636	-0.19263608876433863	-0.9633333333333333	-4.782222222222222	-0.028325722983257168	-0.3762481698920054
-37.5	-2.387818083767072	-0.13643534040451696	-2.792495907839173	-0.17165091436026433	-0.95	-4.671111111111111	-0.010669710806697055	-0.34909734000144954
-36.5	-2.374140210763587	-0.1004999950593326	-2.7462690472828375	-0.15152069429831003	-0.9516666666666667	-4.574473684210527	0.01459480894015867	-0.32840699546681856
-35.5	-2.367823129688185	-0.06973515952806932	-2.709424679181429	-0.12752959488118	-0.9583333333333333	-4.495526315789474	0.049158615717375585	-0.3067730577122793
-34.5	-2.3735355918853305	-0.03698260177934375	-2.682245132756572	-0.09763699183840643	-0.98	-4.433809523809524	0.09221033558019845	-0.2695246525888927
-33.5	-2.3802764779476653	0.0005743071843304662	-2.6524139793045163	-0.063703034274222	-1.0066666666666666	-4.386190476190476	0.1422067116039717	-0.23227624746550612
-32.5	-2.3871375029783444	0.03523201902693096	-2.6253728149694187	-0.03513049112167949	-1.0333333333333334	-4.338736842105264	0.25574036431482344	-0.19502784234211953
-31.5	-2.3990462604997322	0.061407991115164505	-2.6058679947210095	-0.012897027553827219	-1.065	-4.291368421052632	0.312675602690627	-0.15777943721873297
-30.5	-2.40962312675957	0.07836167139678422	-2.589443632440054	0.004042860287243415	-1.0933333333333335	-4.2518518518518515	0.3200895566357343	-0.12053103209534638
-29.5	-2.4188227369776367	0.09157740773989888	-2.5710543334425258	0.008748415873491136	-1.1066666666666667	-4.214814814814814	0.32750351058084154	-0.13597556995203008
-28.5	-2.4322943831225454	0.10130187944391401	-2.5496868127536296	0.008748497861226797	-1.125	-4.177947368421052	0.3104700741395394	-0.15361564709955
-27.5	-2.445393290431579	0.10682447361125197	-2.5288553046688715	0.007148834175913615	-1.1466666666666665	-4.141105263157894	0.287324790101635	-0.17125572424706992
-26.5	-2.462210083715025	0.10723013625790391	-2.5180987154799577	0.005257052238423856	-1.1733333333333333	-4.119470899470899	0.26394127755683205	-0.19023866277632168
-25.5	-2.4854871173332147	0.10525503580079128	-2.505594010594314	0.004884266989452245	-1.21	-4.099157894736842	0.21697314282908625	-0.2093870728450621
-24.5	-2.503498212432675	0.10027482913154774	-2.491769296147536	0.0010836680607630021	-1.2416666666666667	-4.088631578947369	0.2190868810693055	-0.23074338558923896
-23.5	-2.517497057612498	0.0901274074074488	-2.475939710535136	-0.005378815738729374	-1.2483333333333333	-4.08	0.20739127866189122	-0.25514870678997087
-22.5	-2.5294770289176305	0.08233153112207779	-2.457938793677385	-0.012404884146850285	-1.245	-4.08	0.1810284283399617	-0.2795540279907028
-21.5	-2.538439075281897	0.07579050168038301	-2.4363304979829943	-0.02680457611821114	-1.2416666666666667	-4.08	0.17937870083959345	-0.30395934919143464
-20.5	-2.543135425621596	0.06168869442328036	-2.4202970700094264	-0.040953079430409225	-1.2483333333333333	-4.08	0.18105022831050227	-0.32836467039216655
-19.5	-2.545987400986375	0.03775549299472313	-2.4118911800700498	-0.0587792911786784	-1.2650000000000001	-4.08	0.23393150684931507	-0.35276999159289846
-18.5	-2.564492628221873	0.017076470327091833	-2.4080432286114752	-0.07506243120851203	-1.2883333333333333	-4.08	0.2903013698630137	-0.3492752089411998
-17.5	-2.5922682044493746	-0.006672699981346648	-2.408676687840839	-0.09224238181062705	-1.3216666666666668	-4.082645502645502	0.3422465753424658	-0.3535951293759513
-16.5	-2.61523910425559	-0.03988397858457852	-2.4210894144778936	-0.11283999094337263	-1.375	-4.087936507936508	0.3749178082191781	-0.398648401826484
-15.5	-2.622860213385243	-0.07103027977765196	-2.425221293358967	-0.14275388285698065	-1.435	-4.073947368421052	0.39406392694063924	-0.43030151405912037
-14.5	-2.625592574803726	-0.09930470555057912	-2.424531454796691	-0.1649013070873826	-1.421913357400722	-4.047631578947368	0.3919086757990868	-0.45338731074260996
-13.5	-2.62998926185685	-0.12500528637596423	-2.4201889946262125	-0.18734371158561666	-1.416763110307414	-4.021216931216931	0.4053972602739726	-0.45224990940059434
-12.5	-2.6271373752792817	-0.1504125192979954	-2.4175064099502133	-0.21995318536981218	-1.4366546112115732	-3.994761904761905	0.4489086757990868	-0.44121852576647097
-11.5	-2.617381046356823	-0.16986373763770282	-2.417039444787311	-0.23489099262448276	-1.4538517179023507	-3.9727368421052636	0.5668447488584475	-0.5026629839728505
-10.5	-2.607605842612696	-0.18943773074288764	-2.412665966584287	-0.24268512429054417	-1.4683182640144665	-3.951684210526316	0.7743150684931506	-0.6327035849606528
-9.5	-2.6097721630103847	-0.21135109072109037	-2.4286394902412485	-0.25958745911001124	-1.4827848101265824	-3.9451322751322753	1.0092054794520546	-0.8139682768565248
